name	status	reason
uncore_imc_7/cas_count_write/	excluded	uncore event
uncore_imc_7/clockticks/	excluded	uncore event
uncore_imc_free_running_0/dclk/	excluded	uncore event
uncore_imc_free_running_0/rpq_cycles/	excluded	uncore event
uncore_imc_free_running_0/wpq_cycles/	excluded	uncore event
uncore_imc_free_running_1/dclk/	excluded	uncore event
uncore_imc_free_running_1/rpq_cycles/	excluded	uncore event
uncore_imc_free_running_1/wpq_cycles/	excluded	uncore event
uncore_imc_free_running_2/dclk/	excluded	uncore event
uncore_imc_free_running_2/rpq_cycles/	excluded	uncore event
uncore_imc_free_running_2/wpq_cycles/	excluded	uncore event
uncore_imc_free_running_3/dclk/	excluded	uncore event
uncore_imc_free_running_3/rpq_cycles/	excluded	uncore event
uncore_imc_free_running_3/wpq_cycles/	excluded	uncore event
l1d_pend_miss.l2_stall	excluded	deprecated event
ocr.demand_code_rd.l3_hit	excluded	offcore event
ocr.demand_code_rd.l3_hit.snoop_hitm	excluded	offcore event
ocr.demand_code_rd.snc_cache.hit_with_fwd	excluded	offcore event
ocr.demand_code_rd.snc_cache.hitm	excluded	offcore event
ocr.demand_data_rd.l3_hit	excluded	offcore event
ocr.demand_data_rd.l3_hit.snoop_hit_no_fwd	excluded	offcore event
ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd	excluded	offcore event
ocr.demand_data_rd.l3_hit.snoop_hitm	excluded	offcore event
ocr.demand_data_rd.remote_cache.snoop_hit_with_fwd	excluded	offcore event
ocr.demand_data_rd.remote_cache.snoop_hitm	excluded	offcore event
ocr.demand_data_rd.snc_cache.hit_with_fwd	excluded	offcore event
ocr.demand_data_rd.snc_cache.hitm	excluded	offcore event
ocr.demand_rfo.l3_hit	excluded	offcore event
ocr.demand_rfo.l3_hit.snoop_hitm	excluded	offcore event
ocr.demand_rfo.snc_cache.hit_with_fwd	excluded	offcore event
ocr.demand_rfo.snc_cache.hitm	excluded	offcore event
ocr.hwpf_l3.l3_hit	excluded	offcore event
ocr.reads_to_core.l3_hit	excluded	offcore event
ocr.reads_to_core.l3_hit.snoop_hit_no_fwd	excluded	offcore event
ocr.reads_to_core.l3_hit.snoop_hit_with_fwd	excluded	offcore event
ocr.reads_to_core.l3_hit.snoop_hitm	excluded	offcore event
ocr.reads_to_core.remote_cache.snoop_fwd	excluded	offcore event
ocr.reads_to_core.remote_cache.snoop_hit_with_fwd	excluded	offcore event
ocr.reads_to_core.remote_cache.snoop_hitm	excluded	offcore event
ocr.reads_to_core.snc_cache.hit_with_fwd	excluded	offcore event
ocr.reads_to_core.snc_cache.hitm	excluded	offcore event
ocr.rfo_to_core.l3_hit_m	excluded	offcore event
ocr.streaming_wr.l3_hit	excluded	offcore event
offcore_requests.all_requests	excluded	offcore event
offcore_requests.data_rd	excluded	offcore event
offcore_requests.demand_code_rd	excluded	offcore event
offcore_requests.demand_data_rd	excluded	offcore event
offcore_requests.demand_rfo	excluded	offcore event
offcore_requests_outstanding.all_data_rd	excluded	offcore event
offcore_requests_outstanding.cycles_with_data_rd	excluded	offcore event
offcore_requests_outstanding.cycles_with_demand_code_rd	excluded	offcore event
offcore_requests_outstanding.cycles_with_demand_data_rd	excluded	offcore event
offcore_requests_outstanding.cycles_with_demand_rfo	excluded	offcore event
offcore_requests_outstanding.data_rd	excluded	offcore event
offcore_requests_outstanding.demand_code_rd	excluded	offcore event
offcore_requests_outstanding.demand_data_rd	excluded	offcore event
frontend_retired.any_dsb_miss	deferred	needs frontend filtering setup
frontend_retired.dsb_miss	deferred	needs frontend filtering setup
frontend_retired.itlb_miss	deferred	needs frontend filtering setup
frontend_retired.l1i_miss	deferred	needs frontend filtering setup
frontend_retired.l2_miss	deferred	needs frontend filtering setup
frontend_retired.latency_ge_1	deferred	needs frontend filtering setup
frontend_retired.latency_ge_128	deferred	needs frontend filtering setup
frontend_retired.latency_ge_16	deferred	needs frontend filtering setup
frontend_retired.latency_ge_2	deferred	needs frontend filtering setup
frontend_retired.latency_ge_256	deferred	needs frontend filtering setup
frontend_retired.latency_ge_2_bubbles_ge_1	deferred	needs frontend filtering setup
frontend_retired.latency_ge_32	deferred	needs frontend filtering setup
frontend_retired.latency_ge_4	deferred	needs frontend filtering setup
frontend_retired.latency_ge_512	deferred	needs frontend filtering setup
frontend_retired.latency_ge_64	deferred	needs frontend filtering setup
frontend_retired.latency_ge_8	deferred	needs frontend filtering setup
